,output
466,0
909,1
1025,1
1134,1
55,0
1206,1
874,1
692,0
1241,1
1344,1
1200,1
288,0
609,0
919,1
534,0
117,0
897,1
1204,1
1203,1
997,1
839,1
639,0
384,0
1288,1
1076,1
441,0
567,0
1122,1
604,0
1202,1
910,1
1197,1
743,0
665,0
1008,1
1040,1
1079,1
757,0
899,1
1334,1
1192,1
827,1
231,0
295,0
1348,1
942,1
1166,1
985,1
292,0
940,1
578,0
59,0
164,0
33,0
553,0
1233,1
185,0
1006,1
866,1
245,0
38,0
128,0
282,0
394,0
497,0
1044,1
280,0
276,0
938,1
606,0
642,0
269,0
748,0
1041,1
986,1
584,0
64,0
1368,1
293,0
804,1
266,0
1108,1
1223,1
332,0
1119,1
649,0
1026,1
408,0
817,1
302,0
184,0
514,0
165,0
826,1
1353,1
419,0
1087,1
98,0
766,1
1157,1
512,0
851,1
135,0
404,0
863,1
1326,1
224,0
1185,1
1106,1
999,1
520,0
299,0
752,0
1346,1
1061,1
1031,1
34,0
113,0
254,0
431,0
374,0
1091,1
828,1
722,0
1096,1
1056,1
1222,1
506,0
768,1
490,0
272,0
313,0
623,0
341,0
327,0
90,0
1103,1
550,0
764,1
624,0
136,0
1212,1
619,0
3,0
50,0
1034,1
1168,1
502,0
1130,1
677,0
1246,1
9,0
163,0
1318,1
761,0
154,0
1351,1
258,0
788,1
342,0
92,0
481,0
860,1
923,1
812,1
1291,1
226,0
1151,1
714,0
51,0
1049,1
1175,1
54,0
744,0
551,0
861,1
915,1
1323,1
632,0
1199,1
20,0
74,0
795,1
836,1
49,0
1095,1
116,0
822,1
1361,1
1314,1
1341,1
1362,1
701,0
880,1
498,0
1128,1
391,0
508,0
525,0
805,1
93,0
522,0
548,0
329,0
1355,1
385,0
1321,1
1322,1
189,0
1055,1
361,0
862,1
683,0
667,0
1302,1
392,0
1072,1
179,0
11,0
1317,1
1261,1
1179,1
1274,1
1063,1
679,0
883,1
727,0
209,0
142,0
191,0
758,0
1083,1
46,0
1188,1
1167,1
607,0
140,0
130,0
729,0
670,0
1243,1
1236,1
101,0
613,0
901,1
825,1
1354,1
235,0
279,0
739,0
356,0
781,1
896,1
405,0
620,0
830,1
1248,1
244,0
1093,1
1075,1
969,1
1001,1
900,1
1070,1
45,0
368,0
1363,1
850,1
1265,1
517,0
684,0
811,1
712,0
815,1
767,1
463,0
291,0
39,0
1266,1
601,0
1312,1
928,1
137,0
285,0
1307,1
1115,1
723,0
495,0
1216,1
371,0
763,1
708,0
5,0
1129,1
23,0
1094,1
300,0
1009,1
271,0
193,0
734,0
326,0
885,1
175,0
153,0
346,0
592,0
21,0
1251,1
698,0
103,0
1260,1
252,0
141,0
1159,1
475,0
888,1
1028,1
742,0
381,0
1292,1
1257,1
971,1
70,0
840,1
596,0
537,0
172,0
251,0
493,0
1059,1
215,0
672,0
398,0
102,0
91,0
947,1
183,0
746,0
449,0
60,0
22,0
710,0
728,0
111,0
984,1
362,0
491,0
171,0
881,1
427,0
4,0
1016,1
1315,1
966,1
1210,1
222,0
305,0
306,0
1090,1
1370,1
770,1
503,0
579,0
680,0
364,0
203,0
152,0
287,0
213,0
66,0
570,0
791,1
992,1
1193,1
131,0
529,0
1293,1
196,0
1100,1
635,0
333,0
174,0
1182,1
675,0
556,0
233,0
541,0
972,1
983,1
1278,1
260,0
110,0
464,0
814,1
443,0
981,1
237,0
351,0
1161,1
1147,1
687,0
1290,1
801,1
208,0
1060,1
1364,1
36,0
1335,1
188,0
108,0
884,1
1173,1
1112,1
674,0
389,0
725,0
1352,1
169,0
1118,1
566,0
870,1
500,0
69,0
892,1
582,0
207,0
1098,1
872,1
453,0
451,0
482,0
1105,1
602,0
1232,1
1184,1
56,0
590,0
1268,1
521,0
1000,1
1080,1
1002,1
315,0
933,1
949,1
889,1
354,0
1180,1
1333,1
15,0
474,0
1099,1
211,0
511,0
876,1
322,0
908,1
890,1
317,0
853,1
249,0
403,0
442,0
223,0
366,0
263,0
486,0
837,1
477,0
780,1
1078,1
1086,1
878,1
1144,1
873,1
71,0
149,0
1007,1
945,1
627,0
401,0
37,0
1313,1
859,1
1194,1
1342,1
115,0
290,0
603,0
622,0
1186,1
625,0
439,0
30,0
197,0
1030,1
1286,1
100,0
1126,1
418,0
97,0
473,0
138,0
198,0
25,0
838,1
220,0
618,0
552,0
848,1
85,0
339,0
334,0
516,0
1237,1
230,0
530,0
338,0
509,0
736,0
1162,1
956,1
348,0
696,0
968,1
281,0
563,0
1198,1
740,0
524,0
577,0
1245,1
1301,1
1148,1
241,0
1089,1
615,0
1242,1
106,0
1037,1
247,0
122,0
369,0
585,0
719,0
991,1
6,0
1068,1
145,0
458,0
393,0
564,0
504,0
824,1
543,0
1081,1
321,0
1347,1
382,0
264,0
350,0
693,0
312,0
973,1
1158,1
990,1
750,0
819,1
979,1
1038,1
916,1
572,0
1047,1
779,1
14,0
1207,1
1048,1
1069,1
1013,1
731,0
664,0
807,1
429,0
225,0
177,0
309,0
965,1
205,0
580,0
831,1
19,0
656,0
343,0
1297,1
809,1
1062,1
1227,1
659,0
813,1
1117,1
1109,1
234,0
410,0
575,0
775,1
547,0
1042,1
898,1
930,1
105,0
658,0
459,0
724,0
1005,1
510,0
1140,1
1181,1
650,0
993,1
1275,1
835,1
943,1
663,0
1174,1
523,0
246,0
709,0
773,1
924,1
797,1
28,0
802,1
903,1
593,0
600,0
107,0
1305,1
1282,1
457,0
1359,1
1267,1
720,0
1324,1
1146,1
62,0
540,0
611,0
777,1
1205,1
178,0
730,0
1104,1
533,0
1116,1
1121,1
406,0
26,0
437,0
448,0
181,0
479,0
289,0
626,0
586,0
1311,1
1131,1
353,0
711,0
950,1
726,0
415,0
1053,1
1022,1
182,0
847,1
970,1
1024,1
931,1
1163,1
994,1
735,0
297,0
1263,1
690,0
1189,1
1113,1
345,0
571,0
150,0
854,1
958,1
1077,1
907,1
1050,1
952,1
1154,1
462,0
242,0
238,0
922,1
1225,1
1366,1
1137,1
1074,1
891,1
1220,1
926,1
1325,1
1256,1
612,0
820,1
1340,1
668,0
155,0
35,0
96,0
765,1
1111,1
911,1
1133,1
195,0
248,0
1249,1
320,0
1226,1
526,0
1294,1
732,0
628,0
808,1
882,1
17,0
1145,1
434,0
846,1
1082,1
76,0
713,0
823,1
75,0
228,0
278,0
745,0
335,0
962,1
799,1
1357,1
125,0
496,0
785,1
112,0
718,0
774,1
707,0
31,0
1338,1
621,0
311,0
501,0
834,1
1027,1
1229,1
400,0
426,0
1125,1
562,0
1228,1
637,0
858,1
1160,1
685,0
212,0
88,0
673,0
114,0
32,0
895,1
1136,1
8,0
982,1
402,0
845,1
239,0
118,0
63,0
633,0
1010,1
349,0
1021,1
294,0
216,0
1171,1
