year,avg_revenue
1915,5568682
1916,8000000
1918,8000000
1921,2500000
1922,400200
1923,623
1924,1213880
1925,5708183
1926,812439
1927,559433
1928,543529
1929,4358000
1930,4003970
1931,3814592
1932,798512
1933,4595166
1934,2347666
1935,2010366
1936,3734000
1937,92539711
1938,5138033
1939,74864030
1940,38758400
1941,8779926
1942,50136775
1943,1403312
1944,5529285
1945,9503064
1946,19539716
1947,3976480
1948,2834681
1949,5704269
1950,46465074
1951,64965000
1952,8573061
1953,21009968
1954,9770447
1955,12048459
1956,22025401
1957,7700292
1958,11670149
1959,28379100
1960,15293211
1961,22801303
1962,25649262
1963,23320634
1964,27826110
1965,56086126
1966,12308294
1967,32420013
1968,20389439
1969,24494604
1970,30526523
1971,27633520
1972,40520714
1973,55773973
1974,44911715
1975,42456207
1976,40651540
1977,77031733
1978,37378748
1979,51526713
1980,36254253
1981,32773091
1982,44713626
1983,31633004
1984,38922361
1985,33019747
1986,30524069
1987,31019005
1988,32368384
1989,52783225
1990,55660055
1991,44345296
1992,55685114
1993,52036834
1994,59313053
1995,63698566
1996,61216641
1997,72625317
1998,65407851
1999,76315790
2000,74456598
2001,79852402
2002,77232785
2003,87595144
2004,84526956
2005,71241256
2006,65368773
2007,76370132
2008,77651226
2009,82288893
2010,76624754
2011,77817442
2012,85438535
2013,79132636
2014,82378182
2015,92965685
2016,101999586
2017,153835663
