+-----------------------------------------------------------------------------------+----+----------+
|name                                                                               |year|profit    |
+-----------------------------------------------------------------------------------+----+----------+
|Saw VI                                                                             |2009|57233629  |
|Cirque du Freak: The Vampire's Assistant                                           |2009|-11830329 |
|The Boondock Saints II: All Saints Day                                             |2009|2629321   |
|Black Dynamite                                                                     |2009|-2603443  |
|Big Fan                                                                            |2009|-17268    |
|웰컴 투 동막골                                                                     |2005|33579805  |
|Astro Boy                                                                          |2009|-20908933 |
|Fantastic Mr. Fox                                                                  |2009|6471023   |
|A Christmas Carol                                                                  |2009|125233863 |
|Goemon                                                                             |2009|7000000   |
|2012                                                                               |2009|569653595 |
|The Box                                                                            |2009|3333531   |
|Sunday                                                                             |1997|-162      |
|The Fourth Kind                                                                    |2009|32333295  |
|Precious                                                                           |2009|37536959  |
|The Bad Lieutenant: Port of Call - New Orleans                                     |2009|-14410898 |
|The Twilight Saga: New Moon                                                        |2009|659827462 |
|The Messenger                                                                      |2009|-4978739  |
|Ninja Assassin                                                                     |2009|20462347  |
|Polițist adjectiv                                                                  |2009|-1041062  |
|Celda 211                                                                          |2009|13600483  |
|Brothers                                                                           |2009|17318349  |
|Sleep Dealer                                                                       |2008|-2392441  |
|The Blind Side                                                                     |2009|280208309 |
|Old Dogs                                                                           |2009|57219310  |
|Planet 51                                                                          |2009|34945765  |
|Me and Orson Welles                                                                |2009|-22663828 |
|Морфий                                                                             |2008|-2833925  |
|The Lovely Bones                                                                   |2009|28525586  |
|Invictus                                                                           |2009|62233971  |
|The Princess and the Frog                                                          |2009|162045765 |
|Armored                                                                            |2009|2942221   |
|Did You Hear About the Morgans?                                                    |2009|27280250  |
|Nasty Old People                                                                   |2009|-9700     |
|Nine                                                                               |2009|-26174485 |
|It's Complicated                                                                   |2009|134103655 |
|Sherlock Holmes                                                                    |2009|434028679 |
|Crazy Heart                                                                        |2009|32462438  |
|Alvin and the Chipmunks: The Squeakquel                                            |2009|368140005 |
|गुरु                                                                               |2007|26300000  |
|Beyond a Reasonable Doubt                                                          |2009|-20611437 |
|Pontypool                                                                          |2009|-1468000  |
|Lieksa!                                                                            |2007|-965000   |
|Daybreakers                                                                        |2009|31416464  |
|Hachi: A Dog's Tale                                                                |2009|31801389  |
|Leap Year                                                                          |2010|10922472  |
|The Book of Eli                                                                    |2010|77107755  |
|Luftslottet som sprängdes                                                          |2009|39498108  |
|Horsemen                                                                           |2009|-18982599 |
|Soul Kitchen                                                                       |2009|12872796  |
|The Other Man                                                                      |2008|-13856144 |
|Astérix aux Jeux Olympiques                                                        |2008|35649600  |
|3 Idiots                                                                           |2009|61000000  |
|Legion                                                                             |2010|41918658  |
|Beautiful                                                                          |2009|-1444000  |
|Four Eyed Monsters                                                                 |2005|-5000     |
|Extraordinary Measures                                                             |2010|-15865707 |
|Der rote Baron                                                                     |2008|-17959761 |
|Edge of Darkness                                                                   |2010|-5098661  |
|I Love You Phillip Morris                                                          |2009|-2347965  |
|Fish Tank                                                                          |2009|-642148   |
|Rane                                                                               |1998|140000    |
|Valentine's Day                                                                    |2010|164485654 |
|Shutter Island                                                                     |2010|214804195 |
|Ondine                                                                             |2009|-10355245 |
|Percy Jackson & the Olympians: The Lightning Thief                                 |2010|131497209 |
|Cop Out                                                                            |2010|25583804  |
|The Ghost Writer                                                                   |2010|15222298  |
|The Spy Next Door                                                                  |2010|17236543  |
|I Hope They Serve Beer in Hell                                                     |2009|-5570701  |
|Agora                                                                              |2009|-30958495 |
|Singh Is Kinng                                                                     |2008|11000000  |
|Banlieue 13 - Ultimatum                                                            |2009|-6213625  |
|The Crazies                                                                        |2010|34956140  |
|Dear John                                                                          |2010|89977104  |
|Tooth Fairy                                                                        |2010|64462508  |
|[REC]²                                                                             |2009|12869680  |
|My Name Is Khan                                                                    |2010|30345360  |
|Alice in Wonderland                                                                |2010|825491110 |
|Green Zone                                                                         |2010|-5117111  |
|From Paris with Love                                                               |2010|826594    |
|Brooklyn's Finest                                                                  |2009|12536299  |
|She's Out of My League                                                             |2010|29779728  |
|Harry Brown                                                                        |2009|3029747   |
|Remember Me                                                                        |2010|40032889  |
|Our Family Wedding                                                                 |2010|7409028   |
|The Bounty Hunter                                                                  |2010|96000000  |
|Leaves of Grass                                                                    |2009|-8014883  |
|Women in Trouble                                                                   |2009|-2981903  |
|Il cartaio                                                                         |2004|-1120958  |
|Repo Men                                                                           |2010|-13590109 |
|Case 39                                                                            |2009|2000000   |
|Hot Tub Time Machine                                                               |2010|28572262  |
|Chloe                                                                              |2009|-6540542  |
|마더                                                                               |2009|12112713  |
|How to Train Your Dragon                                                           |2010|329878759 |
|Universal Soldier: Regeneration                                                    |2009|-13124614 |
|Micmacs à tire-larigot                                                             |2009|-19000000 |
|Clash of the Titans                                                                |2010|107713139 |
|Defendor                                                                           |2009|-3455538  |
|Kick-Ass                                                                           |2010|68188903  |
|Date Night                                                                         |2010|97263880  |
|After.Life                                                                         |2010|-893605   |
|The Runaways                                                                       |2010|-7004189  |
|Death at a Funeral                                                                 |2010|28050886  |
|Valhalla Rising                                                                    |2009|-5611242  |
|Diary of a Wimpy Kid                                                               |2010|60700498  |
|南京!南京!                                                                         |2009|-1347502  |
|The Losers                                                                         |2010|-1420000  |
|Solomon Kane                                                                       |2009|-37190000 |
|Iron Man 2                                                                         |2010|423933331 |
|Marmaduke                                                                          |2010|33761844  |
|MacGruber                                                                          |2010|-3890000  |
|Ca$h                                                                               |2010|-6953512  |
|A Nightmare on Elm Street                                                          |2010|80664037  |
