+----+--------------------+
|year|        avg(revenue)|
+----+--------------------+
|1915|           5568682.5|
|1916|           8000000.0|
|1918|           8000000.0|
|1921|           2500000.0|
|1922|            400200.0|
|1923|               623.0|
|1924|           1213880.0|
|1925|           5708183.5|
|1926|            812439.0|
|1927|   559433.3333333334|
|1928|            543529.6|
|1929|           4358000.0|
|1930|           4003970.0|
|1931|           3814592.5|
|1932|            798512.5|
|1933|   4595166.666666667|
|1934|  2347666.6666666665|
|1935|           2010366.2|
|1936|           3734000.0|
|1937|         9.2539711E7|
|1938|   5138033.666666667|
|1939|        7.48640305E7|
|1940|           3.87584E7|
|1941|           8779926.5|
|1942|         5.0136775E7|
|1943|           1403312.0|
|1944|   5529285.714285715|
|1945|   9503064.333333334|
|1946|        1.95397165E7|
|1947|           3976480.5|
|1948|  2834681.3333333335|
|1949|           5704269.8|
|1950|4.6465074333333336E7|
|1951|            6.4965E7|
|1952|   8573061.142857144|
|1953|2.1009968272727273E7|
|1954|    9770447.07142857|
|1955|        1.20484595E7|
|1956|2.2025401153846152E7|
|1957|   7700292.142857143|
|1958|      1.1670149125E7|
|1959|           2.83791E7|
|1960|1.5293211214285715E7|
|1961|     2.28013031875E7|
|1962|2.5649262133333333E7|
|1963|        2.33206344E7|
|1964|2.7826110785714287E7|
|1965|5.6086126083333336E7|
|1966|1.2308294333333334E7|
|1967|       3.242001316E7|
|1968| 2.038943913043478E7|
|1969|2.4494604666666668E7|
|1970|3.0526523086956523E7|
|1971|        2.76335208E7|
|1972|      4.0520714625E7|
|1973| 5.577397317391305E7|
|1974|  4.49117157368421E7|
|1975|4.2456207807692304E7|
|1976| 4.065154022727273E7|
|1977|  7.70317335862069E7|
|1978| 3.737874823255814E7|
|1979|      5.1526713975E7|
|1980|3.6254253118644066E7|
|1981|3.2773091876923077E7|
|1982| 4.471362617910448E7|
|1983|      3.1633004125E7|
|1984|3.8922361820512824E7|
|1985|3.3019747127659574E7|
|1986| 3.052406912621359E7|
|1987|3.1019005464285713E7|
|1988| 3.236838409090909E7|
|1989| 5.278322574509804E7|
|1990|5.5660055567307696E7|
|1991| 4.434529693965517E7|
|1992|5.5685114827586204E7|
|1993|5.2036834741007194E7|
|1994| 5.931305323387097E7|
|1995| 6.369856655223881E7|
|1996| 6.121664108695652E7|
|1997| 7.262531752531646E7|
|1998|  6.54078513618421E7|
|1999| 7.631579088679245E7|
|2000| 7.445659803846154E7|
|2001| 7.985240290960452E7|
|2002|  7.72327851641791E7|
|2003| 8.759514481666666E7|
|2004| 8.452695642105263E7|
|2005| 7.150924994468085E7|
|2006|  6.53687733594306E7|
|2007| 7.637013220930232E7|
|2008| 7.765122671804512E7|
|2009| 7.272820066431095E7|
|2010|  7.70516246513158E7|
|2011| 7.806041685530546E7|
|2012| 8.543853504918033E7|
|2013| 7.913263617210683E7|
|2014| 8.237818269470406E7|
|2015|  9.29656857516129E7|
|2016|1.0199958698662208E8|
|2017|1.5383566301020408E8|
+----+--------------------+

