text,rating,date
Refurbished IPhone 12. Immaculate and half the price of a new iPhone 14,5,2022/12/23
I am out of words to say that one is perfect phone for me.,5,2022/12/09
Am a regular apple user and this phone is great. I don’t think you need the latest model. The facial recognition makes it quicker to open. Camera good quality too.,5,2022/11/23
"I had one of these a while ago but it was the first that Apple brought out. When I got a new Apple I passed it onto the wife and she thought it was great, years pass and the phone packs up ( the battery) so I bought her the iPhone 12 upgraded version it’s taken a while to get her bearings on it but she getting there!",5,2022/10/28
As expected,5,2022/11/28
"Overall a very good phone, and serves its purpose- finally replaced my old iPhone 7. It needs a bit of getting used to slid to the next screen.
Saved £££ during Prime Day. Items arrived opened box and without a manual- but received an extra discount. Very pleased with the extra saving!",4,2022/10/19
So the phone works amazing had it for a good few months now and has done me wonders but the only problem is the battery seems to not last as long as it should do I don’t know if it got damaged on the way or that’s me just having to much of expectations but other than that I would recommend having this phone,4,2022/07/26
The iPhone 12 is the best iv had to date the quality of the graphics in games and the battery life is a lot better so would definitely recommend.,5,2022/10/23
Battery life is good nice colour all in all a good phone,4,2022/09/22
"I bought it for my son and he loves it. It works smoothly, it perfectly lies in the hand. Very fast delivery",5,2022/09/29
"My last iPhone was the 1st Gen iPhone SE in 2016, it was great however it had a small 32GB storage, I got rid of it because I kept running out of space and iCloud drive wasn't great at the time, hence I got the 256GB capacity iPhone 12

Been on Android for 5 years and it's been a welcome return back to iPhone, the phone is smooth, animations are immediate, FaceID has never let me down, with Apple's 20W charger, the charge time is pretty good too. iPhone 12 has wireless charging which makes it perfect to charge conveniently in the car.

Battery life is okay, nothing to write home about, I'm a power user and I can get 6 hours of screen on time day to day, and very rarely have I killed it in one day.

Design wise, if you loved the iPhone 4, you'll love this, it's an extension of that design idea, not slippery to hold like previous iPhones, this is Apple at it's best when it comes to industrial design.

Highly recommend the iPhone 12, I think it's the pick of the bunch since the Pro models have the same A14 processor and unless you really want LiDAR and the extra macro camera, I think this is the pick of the bunch.",5,2021/07/12
Battery efficiency good after few months use,4,2022/07/11
The face recognition very quick and efficient. Battery life better than my previous iPhone.,5,2022/09/25
Very pleased with my phone thanks,5,2022/09/25
iPhone is excellent does everything it’s supposed to do,5,2022/09/22
"A real bargain from Amazon warehouse. Came in pristine condition 100% battery and 9 months of Apple care still on the phone.
Happy customer and would definitely look at finding the same deal again in the future",5,2022/08/19
"Ordered to replace my iPhone 11. Phone has a great camera, facial recognition, easy to use, clear screen quality etc… but the battery does not last long at all. I feel I am constantly having to charge it up where I could have the same usage with my iPhone 11 and the battery would last all day.",3,2022/08/10
"This was a replacement for my ageing iPhone 7plus and it was worth the wait. I got this before the iPhone 13 was release at a very good price, its screen, battery life and speed are all excellent and with the longevity of the apple devices and the support for several years of updates I had no hesitation to buy another over the android devices that have very poor support for anything more than one year. I have been delighted with the ease of migrating data from one phone to the next which used wireless pairing and seamless migration of everything from my old phone to the new one. The camera is also excellent and its a nice device to hold too. Shame I have to put it in a case for work due to the hostile environments I work in. Otherwise I would recommend this to those looking for an upgrade from an older device at a more affordable price",5,2021/09/24
Had to send my XR back bad connection problems but usual excellent customer service from Amazon so decided to upgrade to a 12 not a lot of cosmetic difference between them nothing seem to change much on the working aspect of the phones keep giving fancy write ups re the camera but sadly a picture is a picture to me I don’t see the difference between any photos never really grasp the extortionate prices for I phones one is much like the other if you compare them on apples compare I phones there is very little difference in the phone apart from the price legalised extortion by apple really had all different models of iPhones since their conception only had trouble with the XR but the warranty covered that so see how this one goes,5,2021/12/24
"The iPhone 12 is a brilliant phone. I originally had an iPhone 8 and upgraded to the 12. The camera is brilliant - the pictures come out so crisp and look amazing. I like the more rounder edges of this iPhone as well. I got the iPhone 12 in blue and it looks so great, the picture of it doesn’t do it justice! The only downside of this is that due to the price I’d have hoped to have got headphones and I thankfully already had a mains plug but if someone else was buying an apple product for the first time then you will need to buy one or you aren’t able to charge your phone. The size is of this phone is great too, I’m so glad I didn’t go for the bigger size because this can fit into your pocket perfectly. I love that this has face recognition (what did I do before this?!) it’s so much easier to use now even though with having to use masks all the time right now it isn’t difficult for that but worth it if you aren’t needing to use Apple Pay!",5,2021/05/09
