text,rating,date
"It’s a good controller. My original one is still fine and I do 3-4 hours gaming a day.

I bought this as a second controller. No complains so far. It was cheaper on amazon",5,2022/12/26
excellent genuine controller,5,2022/12/23
Works with PC out the box (card is thin so open carefully if you wanna save the box) you'll need to set up configuration of you controller in steam or other software but it works great.,4,2022/11/27
Amazing :),5,2022/12/18
"This is a fantastic controller, that I am using on PC. Its great for Sony PC games especially, such as God of War, Spiderman, Death Stranding, Horison Zero Dawn. I'm looking forward to using it on The Last of US Part 1 when it releases on PC. And at £56 it is a bargain. Also good on Elden Ring, Forza Horizon 5, Halo Infinite, Kena Bridge of Spirits and The Quarry.",5,2022/11/17
Works great,5,2022/12/18
I like these controllers better than Xbox for comfort and gameplay but don't seem to last as long on build quality I have both ps5 and Xbox x and have to say I play alot more on my ps5 but the left control stick on two dual sense have like blistered up and I can see them falling off had both consoles for a year and the Xbox controller is still looking new although I play my ps three times more I would say and I'm on my third controller.,4,2022/10/16
does the job,5,2022/12/11
it is but of happday,5,2022/12/06
Fast delivery and great quality. Thank you!,5,2022/12/05
"So far, this controller seems to be working fine. This is however my third dualsense controller I've had since getting a PS5 in November 21. First one doesn't turn on and won't charge. Second suffers from dreadful stick drift (to the point where stealth in TLOU2 was almost impossible, as Ellie just slowly walks out of cover, even without holding the controller). Hopefully it's third time lucky, but I remain cautious.

I've been a gamer most of my life, but have never had such consistent problems with an aspect of a system since having the red ring of death 3 times back on the Xbox 360 days. Hope this quality issue is fixed by Sony soon! As I stated in the title, I don't even get to play much these days, so it's not like I'm wearing them out or anything.",3,2022/11/10
"For nephew, he'll love it",5,2022/11/24
Enjoying it,5,2022/11/25
"I love the feel of this controller, the position of the analogue sticks and the responsiveness of the d-pad makes it my preferred choice over Xbox controllers, I exclusively use it for PC gaming. Sadly the left analogue stick has begun to drift after just 18 months of use, which is no time at all compared to my experience with other, older controllers.",3,2022/12/03
Yeah,4,2022/10/18
Excellent,5,2022/11/15
The only major downside is I only get like 4 - 5 hours battery life if that.,5,2022/11/04
Brought for my grandsons for Christmas. Very happy with my purchase,4,2022/10/05
"Took a while for this to agree with my PC for whatever reason. Also a bit finnicky to turn off and on, takes like 10 seconds on the power button to turn off and only a slight tap on the panel or power button to come back on. I have a controller rack which has woken this thing up from ""Off"" mode before just by hitting the against the panel.

Outside of that, when working it has zero issues with Steam games that support it natively. I usually prefer using KBM but some games just prefer gamepads, so I bought this to replace an aging XB360 one I've had for a while.

Looks sleek, feels quite premium, no real construction issues. It does feel like a struggle to justify the price though.",4,2022/04/19
"Expensive, you could buy a car for the same price back in my day, but it keeps my daughter happy",4,2022/08/18
Great controller. Works on both ps5 and Nintendo switch (with pairing adapter).,5,2022/10/16
This Controller is ok for the price but breaks within a 5-6 months because of controller drift as usual and the box doesnt come with the charging cable which sucks and will cost extra but luckily i have a spare cable so thats good and well the haptic feedback is amazing as always,4,2022/06/13
"Today I received my DuelSense controller… but alas no PS5 to connect it to until next Thursday :(

I’ll update this review once I’ve had chance to try it out, but I thought I’d offer my opinion on the aesthetics for the time being.

The DuelSense is slightly larger than the DuelShock for the PS4 - this is something I like, as it finally feels like a worthy challenger to my beloved xBox controller (which was the thing I missed the most when I swapped sides from team Microsoft to team Sony back in the XOne/PS4 days).

It also feels more weighty than the DuelShock and I love the design with the teeny tiny PS symbols that adorn it’s beautiful facade!

I would point out that there is no charging cable included, which is disappointing for a premium product (and explains why I’ve only awarded 4 stars). That being said, I’m sure the PS5 will include a charging cable, so it’s not the end of the world.

For me, this is the best looking controller on the market. Whether it is the best performing remains to be seen, and is largely a subjective view anyway. I can’t wait to try out the adaptive triggers and the haptic feedback, but for now, I’ll just have to be content to hold it in my hands and dream of what goodness might await!

Update #1
For anyone reading this and wondering why I've not updated my experience with the DualSense, it's purely due to the fact that my PS5 died within 4 hours of ownership (see my PS5 review on Amazon). As such, I never really got to experience the greatness that others have commented on as I didn't get to play any games. That being said, I can confirm that the experience of using the controller whilst I was setting my PS5 up (before it failed) was really positive - as already commented, the size and weight now feel perfect, and movement just feels more fluid (partly down to the improved PS5 UI, but this beautiful piece of equipment also factors in). Unfortunately, as my PS5 is in console heaven, I'm back to using my DualShock with my PS4... which now feels entirely inadequate!",4,2020/11/12
An original controller for ps5 but bulky but easy to get used to. The layout hasn’t changed that much although I fear the battery life may be poor compared to previous gen,4,2022/07/01
My son is very satisfied with this product,5,2022/10/13
"This product is phenomenal.

It stops my teenage son mooching around the house and emptying my fridge. It also stops him from arguing with every other member of the family.

It's a miracle.",5,2022/09/27
The right stick was drifting once taken out box there fore returned,3,2022/11/04
"Essential for PS5, I got another one due to local multiplayer and because playstation controllers while good noticeably have rubbish battery life so swapping to a secondary controller is convenient doesn't come with the charging cable but then they never have since the PS3 days regardless of price",5,2022/08/20
"Bought this from Amazon warehouse

It was in immaculate condition and apart from the box being a bit rough round the edges it’s great

Love Amazon warehouse",5,2022/09/22
"Bought the white one and it only lasted 3 months until the left stick developed extreme drift. [FCCID ends in CT1A. Model number ends in ZCT1W A (the A is tiny)]

My previous white dualsense was the older model, and that lasted 10 months until the R1 button failed, with no sign of stick drift. My usage pattern was basically the same for both controllers.

I put in a lot of hours but 3 months isn't acceptable.",3,2022/08/24
"All three (yes, THREE) of these controllers which I have owned within 2 years of having a PS5 developed stick drift - this is the phenomenon of the controller suddenly sending input to the the game when you are not touching any controls. It's pretty bad that an expensive piece of technology such as this could be so poorly designed, and a quick search on Google tells you that this is not something where I have been unlucky. This a good product with a terrible, terrible flaw that Sony clearly know about but are refusing to address. I guess if suckers like me keep getting forced to spend £50 on a replacement every 8-10 months then why should they fix the problem!",2,2022/11/24
"Original Sony PS5 controller. Very good, got it at great deal from Amazon Warehouse. Works wells and holds charge just as expected.",5,2022/09/18
"Used to love Playstation but have fully transitioned to playing on my PC and normally use my PS4 controller when playing certain games on Steam or Assassins Creed on Ubisoft Connect.

PS5 controller works great through Steam and if you havent got PlayStation icons, go to the games settings/cog then properties, controller and turn on the Enable Steam Input.

No cable is why this loses a star",4,2022/04/26
"As PS5’s only come with one controller, my children demanded an extra one. Which is fair enough.
Along with the 3D headset, the enhanced controller with force feedback is really the most notable upgrade that came with the PS5 if you ask me. It makes most games even more immersive
I already liked the design and feel of the old PS4 controller, but this wireless Dual Sense pushed that one back to the stone age - this is a big leap forward in gaming, aesthetics and immersiveness.
The former rumble motor has been replaced by dual actuators that mimic very specific frequencies and moves so that is leaves you with a much more realistic experience.
The adaptive triggers let developers set the level of trigger resistance, which works brilliantly in a wide range of situations. These seem like small incremental enhancement . But they are not.

Not only doe sit offer haptic feedback and dynamic trigger effect, the controller also has a built-in microphone a speaker and a touchpad. Further more, it has a good grip while it feels quite robust and slightly heavier compared to my trusted PS4 Dual Shocks. Perhaps most importantly, in-game movement feels very natural and fluid.
While the Dual Sense work with PS4 backward compatible games when played on the PS5 console, it does not work when connected to a PS4. also it lacks a front lightbar so you can not use it to play PSVR games. Also there is no charging cable included.",5,2021/04/30
"Bought it for use on PC.
Works plug and play with Steam as Steam has support for all controllers though with XBox Elite, PS and Switch Pro you have to enable that support in Big Picture Mode/Controller Options.
The gyro doesn't seem to want to calibrate properly so it's best disabled, that can also be done through Steam Big Picture Mode. The only inconvenience is if you run a game that may use the gyro, like an FPS, you have to run it through Big Picture Mode or it won't use the config that disables the gyro

Regular XBox controllers work without any additional faff as Windows has native support for them, as you'd expect. So if you don't want to mess about a little get an XBox controller. If you don't mind the minor inconvenience then get one of these as they feel better and they are the same price",4,2021/11/13
This is good quality original,5,2022/09/28
"Absolutely stunning

Thumbs up to this one👍",5,2022/09/19
"I needed a second controller to play with friends at home, but after few weeks using it the left joystick started to go crazy. I tried cleaning it, checking the controller with a technician but still doing the same thing which is annoying as I don't have control. I would have to buy another one, and I hope this one will last more than a few weeks.",3,2022/07/30
If you're looking to play PS5 games than this is for you.,5,2022/09/09
You cannot get a better controller than this. It is absolutely amazing in all aspects,5,2022/09/03
