text,rating,date
"Size 11 UK and they fit perfectly, the same as all my other Vans.

Seen some people call them “fake” they are 100% genuine. These aren’t old schools they are Wards so slightly different, the only difference being “Vans” on the tongue.

Compared them to another pair of Vans and they are identical in every way in both look and feel.

Wore these on a recent city break which involved a lot of walking, heavy rain etc and they are perfect. Same as all other vans, very comfortable and durable.

The price is simply unbeatable! Will be picking up a few more pairs.",5,2022/11/19
"Brought these on the bfs,they come very next day delivery was quick.i usually take a 7.5 but these are fairly big but nothing a couple pairs of socks won't handle so if you are after don't get extra half.but yeh overall brilliant shoe always had vans",5,2022/11/27
Thankyou,5,2022/12/20
"Everything you'd expect from Vans. Quality materials, well made and as comfortable as ever",5,2022/12/11
These trainers looked durable & are very sturdy looking. Good thick bottoms for longevity & comfortable. Definitely keep feet dry in wet weather.,5,2022/12/02
A gift for my great niece,5,2022/12/09
They arrived on time and perfectly packaged. They are very good quality and very comfortable. I would definitely recommend!,5,2022/11/29
It's a Christmas present for someone value price,5,2022/12/05
"Love this product , never fails",5,2022/12/03
Christmas purchase so can’t comment further,5,2022/11/14
Been wearing vans for a while but these are my favourite. Great fit and look really cool.,5,2022/11/06
Good value snd quality,5,2022/11/14
Perfect,5,2022/11/12
Comfy,5,2022/11/12
Very comfortable,5,2022/11/11
Value for money comfortable shoe,5,2022/11/05
"I love Vans shoes, these are the classic design in my view. Good value, high quality. Will definitely buy again.",5,2022/10/24
"They feel quite heavy but give a light step to walking, easy on and off.

Just one grumble, they still smell like a cobblers shop after a month. I only wear them twice a week, it should go in the fullness of time.",4,2022/07/14
"Would prefer it to be made of suede for longer life durability but canvas is fine, will just have a shorter life span",4,2022/07/04
"Seen a lot of reviews calling these shoes fake but the truth is everything checks out. Stitching is great, comfort is good, material feels authentic. Even checked online to see how to spot fake ones and couldn't. Came packaged properly warped in paper in the vans box and with it's vans tag. These shoes are spot on.

From what I believe a lot of these reviews calling them fake are rival retailers hoping to boost business, so I'd take it with a grain of salt.

If anything changes I'll update this review.",5,2022/06/24
"All as it should, size runs true",5,2022/10/04
The shoes looks quite good and seem genuine. But my god it feels horrible to wear. I can literally not feel my foot after 30 minutes because of how poorly thin the sole is. Definitely would not recommend,3,2022/09/03
Value for money,5,2022/09/28
"Great looking shoes, however side walls are already peeling away from fabric where shoe naturally bends when walking and there is a lot of rubbing at the base of the toes.",3,2022/08/14
"Overall these are very close to the Vans Old Skool. The big drawback is the insole is much harder and offers almost no padding on the heel meaning extended wear can be quite uncomfortable.
Sole isn't removable unlike the Old Skool so you will be limited to the in built sole.",3,2022/07/22
My son loves them,5,2022/09/10
"Wanted something different than I usually wear, got a size 12 which took a little time to break in but fit perfectly and so comfortable.",5,2022/08/03
Fits narrow. Feels tight on the sides and looks like a boat from viewpoint.,3,2022/08/26
"A tiny bit big. Could have gone half a size down even though they are true to size apparently. Thick socks will do the job but I wont be wearing them when it's hot. Might not be a problem. I got a good deal when they were on sale, so swings and roundabouts.

Anyway first I was worried they were going to be fake as ward are strange Van's as Van's don't actually sell them on their site. But when I got them I did all the tests and they passed all of them, including the barcode being right and the clk on the sole and sticker inside and outside the box. So all good. I will probably save these till autumn and get them waterproofed.

The shoes a pretty much old schools but have tiny differences like the Van's logo on the tongue and some of the stitching patterns are a bit different.

All in all a good day to day shoe. Just like old schools and cheaper.

When you get yours do the barcode test, benable test (sole should bend easy at end of toe cap) and the sole code check and your good to go.

Eg mine had CLK on one panel on the sole, then a little round sticker inside the top of the box and on the barcode on the outside of the box and your safe

Good purchase

Ps muticolour laces not included",4,2019/08/26
"I love Vans, they are trendy, easy to wear and look good in any colour pair of jeans.",5,2022/07/07
love it glad I got a pair now walk in style,5,2022/07/08
Long lasting good quality and look great.,5,2022/07/08
Walking and every day use,5,2022/07/11
"Very nice, comfortable shoes that are easy to style. The only issue I've had is that the glue holding the sole is not that strong. I've worn my shoes everyday for about a week and the glue is starting to break already on the side. Not an awful problem but it's a bit annoying.",4,2021/11/14
I bought them for my son. He rates them.,5,2022/07/05
I'd read a few reviews stating that the Vans were fake. I can say that these are 100% genuine. I'm a big collectors of various styles of Vans and these are some of the comfiest Vans I've ever worn. They look amazing and something different than what everyone else has with the gum soles. Would definitely recommend them,5,2022/03/14
