text,rating,date
Gift for my brother 🎄,5,2022/11/12
Very beautiful shoes my son loves it the quality looks amazing it looks real .,5,2022/09/02
"Arrived on time, no problem with the seller, they look as per advertisement picture",4,2020/11/24
Perfect,4,2020/10/23
Comfortable Right size Superb Great customer service,5,2020/07/23
I like this item and is good price,5,2020/01/16
Smart,5,2020/06/19
Completely ignored instructions of placing the package in my shed absolutely frustrated. But they seem to be okay apart from a bumped up box 😡,4,2021/12/03
Lovely pair of trainers,5,2020/08/18
Loved the shoes I won Christmas,5,2022/12/24
The shoes arrived and the box was crushed pretty bad which is kind of a bummer because you like to keep the Jordan box but the shoes are OK,4,2022/11/09
These are a perfect fit even with wide feet. The size 12 worked great.,5,2022/12/02
Yes,4,2022/11/04
Great show great price and came fast! Very happy with them,5,2022/12/01
"Purchased for someone, cannot review",4,2022/10/08
Such a classy and traditional sneaker for work.,5,2022/11/19
My son liked the fit and style. He swears he can jump higher in them.,5,2022/11/13
"For the many saying they run small, I've found if you break them in and loosen the laces up they fit well. I usually have to buy extra wide.",5,2022/10/23
"I like how quick I got these but the fit was smaller than expected, othere than that everything went well",4,2022/07/27
My son like them,4,2022/08/17
These are so comfortable and the size was perfect. Very light on your foot and can keep on your foot for a good 24hrs without any feeling of discomfort. I highly recommend that you also get a pair yourself. 5 star all the way,5,2022/09/24
Pleased with the purchase!,5,2022/10/30
I don't understand the hype with nike shoes. I've bought 3 pairs and they're all uncomfortable. These are no exception. The tounge wraps around in the inside of the shoe and irritates my foot. Can't wear them for more than a few hours before I have to take them off.,3,2022/10/02
"Nice looking, but narrow.",4,2022/07/26
Everything fix my Husband to a T.,5,2022/10/20
My litlle boy love this tennis.,5,2022/10/03
"I bought these shoes just to casually wear, and they are now my favorite shoes. They fit great, are highly comfortable, and look amazing. I would highly recommend.",5,2022/08/29
Good,5,2022/09/30
Excelentes son como los esperaba talla y calidad .,5,2022/09/14
.me gusta,5,2022/09/28
"Product was as advertised. Gifted for relative. Loves the shoes. For Jordan Shoes fanatics, not the cheapest nor the most expensive, but fits budget for average consumer.",5,2022/05/17
Me encanto,5,2022/09/07
"My intention was to immediately wear this shoe to the gym. It is a great looking shoe that I do not want to scuff. Therefore, I will most likely only wear it on special occasions until it is thoroughly worn and ready for gym use.",5,2022/06/02
Great fast delivery good quality products,5,2022/08/22
It's an excellent bargain for the quality of the product,4,2022/03/12
Comodas,5,2022/08/31
" I LIKE THE QUALITY OF THE SHOES. THEY ARE VERY WELL MADE. ONLY, THEY ARE DIFFERENT SIZED RIGHT AND LEFT. I THINK IT WAS JUST AN ISSUE WITH PRODUCTION. OVERALL I WILL BE ABLE TO EXCHANGE THEM FOR A DIFFERENT PAIR.",5,2022/05/22
