movie_id,year,rev_minus_cost
From Dusk Till Dawn,1996,6836616.0
Big Bully,1996,-12957470.0
White Squall,1996,-27700000.0
Mary Reilly,1996,-34620598.0
Broken Arrow,1996,100270147.0
Bottle Rocket,1996,-6439931.0
Happy Gilmore,1996,29205099.0
Flirting with Disaster,1996,7702438.0
The Birdcage,1996,154260553.0
Executive Decision,1996,66969216.0
Fargo,1996,53611975.0
Hellraiser: Bloodline,1996,12675000.0
Primal Fear,1996,72616183.0
Girl 6,1996,-7060061.0
Courage Under Fire,1996,54860818.0
Mission: Impossible,1996,377696359.0
DragonHeart,1996,58267375.0
James and the Giant Peach,1996,-9078736.0
Faithful,1996,-3210100.0
Space Jam,1996,170200000.0
Mrs. Winterbourne,1996,-14930000.0
The Quest,1996,27400547.0
Flipper,1996,-5449980.0
The Craft,1996,9769466.0
Original Gangstas,1996,-1786000.0
The Rock,1996,260062621.0
Twister,1996,402471524.0
The Arrival,1996,-10951628.0
The Phantom,1996,-27699111.0
Striptease,1996,63309743.0
Jack,1996,13620973.0
Trainspotting,1996,12491080.0
Independence Day,1996,741969268.0
The Fan,1996,-36373581.0
The Hunchback of Notre Dame,1996,138851.0
The Cable Guy,1996,55825796.0
Kingpin,1996,-1976566.0
Eraser,1996,142295562.0
The Nutty Professor,1996,74769345.0
Daylight,1996,79212469.0
The Frighteners,1996,-640784.0
Lone Star,1996,8269963.0
Phenomenon,1996,120036382.0
She's the One,1996,5982579.0
A Time to Kill,1996,112266007.0
Fled,1996,-7806769.0
Joe's Apartment,1996,-8380986.0
The First Wives Club,1996,90400000.0
Ransom,1996,229492681.0
Chain Reaction,1996,10209334.0
Matilda,1996,-2540584.0
Emma,1996,16231658.0
The Crow: City of Angels,1996,4917287.0
Bordello of Blood,1996,-9400000.0
The Spitfire Grill,1996,6643776.0
Escape from L.A.,1996,-7722635.0
Basquiat,1996,49144.0
Tin Cup,1996,8854588.0
Manny & Lo,1996,-68674.0
Bound,1996,2511317.0
The Relic,1997,-26043392.0
The Island of Dr. Moreau,1996,9627779.0
Bulletproof,1996,-2388046.0
Maximum Risk,1996,26702483.0
Michael Collins,1996,-11100000.0
Last Man Standing,1996,-19732999.0
Set It Off,1996,32590886.0
Curdled,1996,-2250380.0
Extreme Measures,1996,-20619874.0
The Chamber,1996,-27459641.0
Secrets & Lies,1996,8917292.0
Surviving Picasso,1996,-14014999.0
The Long Kiss Goodnight,1996,24456761.0
The Ghost and the Darkness,1996,25000000.0
Get on the Bus,1996,3331103.0
Shadow Conspiracy,1997,-42845460.0
Jude,1996,-6595000.0
Romeo + Juliet,1996,132798761.0
Swingers,1996,4305922.0
Sleepers,1996,121615285.0
The Funeral,1996,-11272676.0
The People vs. Larry Flynt,1996,-15699615.0
Bad Moon,1996,-5900000.0
The English Patient,1996,204976425.0
Star Trek: First Contact,1996,104000000.0
Sling Blade,1996,23444121.0
